RNUM,TITLE,PERIOD,RELATION,URL,DESCRIPTION,VIEWCOUNT
1,Quartet atis 정기연주회,20150124~20150124,"10대 이하 : 0건, 20대 : 0건, 30대 : 0건, 40대 : 11건, 50대 : 3건, 60대 : 7건, 70대 이상 : 4건 )",https://www.sac.or.kr/site/main/show/show_view?SN=22054,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
2,Ensemble INVITO 1st Concert,20150124~20150124,"10대 이하 : 0건, 20대 : 5건, 30대 : 2건, 40대 : 2건, 50대 : 0건, 60대 : 3건, 70대 이상 : 0건 )",https://www.sac.or.kr/site/main/show/show_view?SN=23887,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
3,석혜원 바이올린 독주회,20150125~20150125,"10대 이하 : 0건, 20대 : 0건, 30대 : 2건, 40대 : 2건, 50대 : 8건, 60대 : 0건, 70대 이상 : 0건 )",https://www.sac.or.kr/site/main/show/show_view?SN=23953,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
4,빈 소년 합창단 신년음악회 (25일),20150125~20150125,"10대 이하 : 0건, 20대 : 29건, 30대 : 158건, 40대 : 379건, 50대 : 446건, 60대 : 78건, 70대 이상 : 31건 )",https://www.sac.or.kr/site/main/show/show_view?SN=21924,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
5,김수영 바이올린 독주회,20150125~20150125,"10대 이하 : 0건, 20대 : 0건, 30대 : 3건, 40대 : 0건, 50대 : 0건, 60대 : 3건, 70대 이상 : 3건 )",https://www.sac.or.kr/site/main/show/show_view?SN=22066,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
6,김경아 플루트 독주회,20150125~20150125,"10대 이하 : 0건, 20대 : 0건, 30대 : 1건, 40대 : 0건, 50대 : 6건, 60대 : 0건, 70대 이상 : 0건 )",https://www.sac.or.kr/site/main/show/show_view?SN=22306,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
7,2015서울국제음악제-아가타 심체스카와 앙상블오푸스,20150125~20150125,"10대 이하 : 0건, 20대 : 4건, 30대 : 12건, 40대 : 6건, 50대 : 75건, 60대 : 21건, 70대 이상 : 8건 )",https://www.sac.or.kr/site/main/show/show_view?SN=23889,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
8,제5회 아니마챔버 앙상블 정기연주회,20150127~20150127,"10대 이하 : 0건, 20대 : 0건, 30대 : 6건, 40대 : 5건, 50대 : 1건, 60대 : 0건, 70대 이상 : 1건 )",https://www.sac.or.kr/site/main/show/show_view?SN=22056,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
9,"송세진 피아노 독주회, 불멸의사랑 불멸의피아니스트 II",20150127~20150127,"10대 이하 : 0건, 20대 : 7건, 30대 : 12건, 40대 : 17건, 50대 : 12건, 60대 : 5건, 70대 이상 : 0건 )",https://www.sac.or.kr/site/main/show/show_view?SN=24459,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
10,2015 강남심포니 신년음악회,20150127~20150127,"10대 이하 : 0건, 20대 : 2건, 30대 : 20건, 40대 : 2건, 50대 : 11건, 60대 : 22건, 70대 이상 : 13건 )",https://www.sac.or.kr/site/main/show/show_view?SN=21926,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
